"DATA_YEAR","VICTIM_ID","CIRCUMSTANCES_ID","JUSTIFIABLE_FORCE_ID"
2018,125318060,10,
2018,125318061,10,
2018,125318062,10,
2018,124395916,10,
2018,124392312,10,
2018,124392311,10,
2018,124395574,9,
2018,124391552,9,
2018,124395104,9,
2018,125598119,17,
2018,105257992,1,
2018,106214429,10,
2018,116611848,9,
2018,116616734,1,
2018,116607241,17,
2018,106213779,9,
2018,106213778,9,
2018,106213780,9,
2018,105256853,1,
2018,106214919,1,
2018,105258217,1,
2018,106214449,9,
2018,106214886,9,
2018,106211824,9,
2018,106213238,6,
2018,106210441,1,
2018,106211934,9,
2018,106211930,9,
2018,106212455,1,
2018,106212457,1,
2018,106214467,10,
2018,125311076,1,
2018,128305755,1,
2018,128305756,1,
2018,112578162,10,
2018,112583529,1,
2018,112579641,1,
2018,112574913,1,
2018,112580712,9,
2018,113666163,6,
2018,113653262,9,
2018,112573493,10,
2018,112578167,9,
2018,112578840,9,
2018,105257329,9,
2018,105257328,9,
2018,106211998,10,
2018,106213801,1,
2018,113653263,1,
2018,113653264,1,
2018,112582266,9,
2018,106211138,9,
2018,106214363,10,
2018,106213398,1,
2018,106211995,9,
2018,106212475,1,
2018,106212483,1,
2018,109279141,2,
2018,124395249,1,
2018,124398689,10,
2018,124403450,1,
2018,124393910,9,
2018,124398809,1,
2018,124395234,1,
2018,116707822,2,
2018,116710479,10,
2018,116710475,10,
2018,116710476,10,
2018,116717085,10,
2018,116612411,2,
2018,116707360,1,
2018,116716689,9,
2018,116712096,1,
2018,116611639,1,
2018,116616444,2,
2018,106211880,1,
2018,106214865,1,
2018,106214870,1,
2018,116717047,9,
2018,116717049,9,
2018,116611581,1,
2018,116607278,6,
2018,116617065,9,
2018,116617074,2,
2018,116716684,1,
2018,116716685,8,
2018,116712427,9,
2018,105831847,1,
2018,105832375,10,
2018,124393658,9,
2018,124393659,9,
2018,106212323,1,
2018,106213288,9,
2018,106213708,1,
2018,106213709,1,
2018,106214645,9,
2018,124398782,1,
2018,124391682,1,
2018,106210716,1,
2018,106211580,9,
2018,106211591,9,
2018,126714643,6,
2018,126714642,6,
2018,112573455,9,
2018,112582052,9,
2018,112578530,6,
2018,112574120,1,
2018,112578965,1,
2018,112582893,1,
2018,112575952,9,
2018,111060878,1,
2018,111053582,1,
2018,111056406,1,
2018,112578575,2,
2018,112584182,1,
2018,112582890,9,
2018,110231068,1,
2018,110231072,1,
2018,110224842,1,
2018,110224841,1,
2018,110226662,6,
2018,111060935,1,
2018,111053643,1,
2018,111061167,9,
2018,111061166,9,
2018,111056944,10,
2018,111061329,1,
2018,111053730,9,
2018,112577941,1,
2018,112573735,6,
2018,112582446,6,
2018,112573810,9,
2018,112579087,1,
2018,112583052,6,
2018,112579088,10,
2018,112574340,10,
2018,112583364,9,
2018,112575081,10,
2018,112575304,2,
2018,112583541,10,
2018,112574423,9,
2018,112575000,1,
2018,112583605,1,
2018,112579748,9,
2018,112583714,1,
2018,112579442,1,
2018,112583432,6,
2018,112575154,1,
2018,112579861,1,
2018,112575298,1,
2018,112579547,1,
2018,112574814,1,
2018,112574811,1,
2018,112574812,1,
2018,112580046,1,
2018,112580052,10,
2018,112573555,1,
2018,112579821,10,
2018,106212129,1,
2018,106212344,1,
2018,106212343,1,
2018,106212492,1,
2018,105257345,9,
2018,105257344,9,
2018,105257845,1,
2018,105258444,1,
2018,105258441,1,
2018,106211125,6,
2018,106211131,2,
2018,116616446,10,
2018,116611978,9,
2018,116616762,1,
2018,116607064,1,
2018,116607083,9,
2018,116616790,9,
2018,116612069,1,
2018,116612169,9,
2018,116616941,2,
2018,105257541,1,
2018,105258830,9,
2018,112584376,1,
2018,112582707,1,
2018,112573818,1,
2018,112582974,9,
2018,112582990,1,
2018,126511686,1,
2018,127395402,1,
2018,124398434,1,
2018,124391564,9,
2018,124393906,9,
2018,112579733,2,
2018,112579730,2,
2018,111060940,1,
2018,112573450,6,
2018,112583161,1,
2018,112575324,9,
2018,112583897,9,
2018,112584635,1,
2018,112574368,1,
2018,112579250,1,
2018,116700770,1,
2018,116712331,6,
2018,116710460,10,
2018,116700774,9,
2018,116700775,9,
2018,116705027,1,
2018,116711980,1,
2018,116616983,1,
2018,116616986,8,
2018,116712440,1,
2018,112582383,1,
2018,112579269,1,
2018,112576028,10,
2018,112584599,9,
2018,116700704,1,
2018,116700965,1,
2018,116705549,9,
2018,116716518,1,
2018,116709732,9,
2018,116712338,1,
2018,116717018,1,
2018,116712369,1,
2018,116707806,9,
2018,116705398,1,
2018,116700816,1,
2018,116700925,2,
2018,116700951,1,
2018,116708173,9,
