"DATA_YEAR","VICTIM_ID","OFFENDER_ID","RELATIONSHIP_ID","NIBRS_VICTIM_OFFENDER_ID"
2018,110230946,113553387,1,33362689
2018,110224941,113553631,1,33362763
2018,110224950,113553637,3,33367359
2018,110224951,113553644,5,33371471
2018,110226492,113558469,3,33371483
2018,110225160,113562744,1,33371503
2018,110226735,113564111,24,33371521
2018,113666138,117011878,1,34510145
2018,113653216,117015633,1,34510146
2018,113653217,117015635,3,34510876
2018,113659093,117011905,3,34520284
2018,116616589,119945286,1,35545405
2018,116606827,119945286,1,35540434
2018,116616588,119945286,1,35535451
2018,116611854,119950183,3,35535466
2018,116616745,119940619,3,35545438
2018,116616745,119950278,25,35535522
2018,116616746,119950278,3,35535524
2018,116616746,119940619,25,35545439
2018,116612152,119940791,3,35535589
2018,116607181,119945646,1,35535594
2018,116616901,119945674,16,35545478
2018,116616901,119940835,24,35540532
2018,116607456,119945933,6,35535643
2018,112577977,115951571,19,34176829
2018,112578231,115947352,15,34180625
2018,112573723,115944453,19,34176911
2018,112582447,115947451,18,34176924
2018,111053833,114387767,1,33652811
2018,111053893,114395791,1,33646894
2018,111054031,114390645,1,33652854
2018,111056849,114396062,21,33642009
2018,111054100,114396128,16,33642016
2018,111056960,114388072,3,33642023
2018,111056998,114388107,3,33646933
2018,111054205,114396266,3,33652877
2018,111056228,114395400,3,33641852
2018,111056403,114390422,1,33641893
2018,111056670,114387882,3,33646901
2018,111056726,114395918,18,33652847
2018,111061220,114387941,1,33646908
2018,111061235,114387960,1,33646911
2018,111056809,114387971,1,33642001
2018,111056809,114396020,1,33642002
2018,111061435,114390812,3,33646942
2018,112578399,115952016,24,34175275
2018,112573822,115944573,24,34185289
2018,112582578,115954619,1,34176962
2018,112582584,115954625,24,34176965
2018,112578580,115954625,24,34176966
2018,112582736,115952413,3,34185339
2018,112574093,115952447,5,34180739
2018,112574150,115952513,3,34185356
2018,112578990,115954933,1,34177033
2018,112574250,115954933,9,34185372
2018,111053908,114395818,16,33652832
2018,111053938,114395870,9,33641984
2018,111061180,114387912,18,33646903
2018,111057072,114396288,1,33642052
2018,111056273,114395447,3,33641865
2018,111056411,114395593,3,33641896
2018,111053824,114387753,3,33652807
2018,111056573,114390514,24,33652826
2018,111056619,114395812,1,33641967
2018,111054040,114387985,15,33652856
2018,113666126,117020320,1,34520276
2018,113653218,117015633,1,34510877
2018,111060902,114390302,23,33646842
2018,111060903,114395459,21,33646843
2018,111053625,114390313,18,33652749
2018,111053628,114395471,18,33652752
2018,111053625,114395471,4,33652750
2018,111053628,114390313,3,33652751
2018,111053635,114395482,23,33641874
2018,111053636,114390318,1,33641875
2018,111053654,114390339,15,33646850
2018,111053674,114387612,1,33652772
2018,111061000,114387659,3,33641891
2018,111053774,114390454,1,33641903
2018,111053775,114390453,21,33652787
2018,111053787,114395649,3,33646863
2018,111053806,114390469,15,33646871
2018,111053806,114390467,15,33646870
2018,111056491,114387733,3,33641922
2018,111056515,114387750,25,33641932
2018,111056511,114390484,1,33641929
2018,111056511,114390483,25,33646876
2018,111056511,114387750,1,33646875
2018,111056515,114390484,1,33641934
2018,111056515,114390483,1,33641933
2018,111053831,114395716,5,33646883
2018,111061086,114387773,3,33646884
2018,111056564,114387798,1,33641947
2018,111056563,114387798,3,33641946
2018,111053933,114395863,18,33652839
2018,111053934,114390563,3,33641980
2018,111061162,114395868,18,33646902
2018,111061198,114395962,18,33646905
2018,111053996,114387942,3,33652850
2018,111061217,114395980,16,33652849
2018,111056777,114396000,3,33642000
2018,111056781,114396002,3,33652851
2018,111056841,114390655,16,33642004
2018,111056843,114396057,15,33642005
2018,111056847,114396060,26,33642007
2018,111061276,114396063,3,33646915
2018,111056854,114396066,16,33642011
2018,111054095,114396124,18,33642015
2018,111056931,114396142,17,33646923
2018,111054137,114388084,24,33642029
2018,111054193,114396243,13,33642037
2018,111057028,114388128,21,33642038
2018,111057063,114396281,21,33642050
2018,111061416,114388153,3,33646939
2018,111054247,114388176,5,33646943
2018,111057131,114396344,3,33646944
2018,111057135,114396345,16,33642066
2018,116712214,120037228,15,35585300
2018,116716917,120037228,15,35583451
2018,112578126,115947253,3,34180593
2018,112578150,115944343,3,34180601
2018,112578186,115947318,1,34180609
2018,112578221,115951848,18,34180623
2018,112578234,115951854,21,34180627
2018,112579442,115948377,16,34180868
2018,112575875,115949454,24,34185735
2018,112582890,115947940,9,34180773
2018,112582890,115947941,9,34177032
2018,112575076,115953429,1,34185581
2018,112583081,115952790,1,34177057
2018,112579167,115955105,24,34180793
2018,112574431,115948137,1,34177063
2018,112579211,115952835,21,34180803
2018,112574487,115955167,16,34185418
2018,112574500,115948201,1,34185420
2018,112579268,115952879,3,34180810
2018,112574552,115948232,3,34185434
2018,112574551,115948232,1,34180817
2018,112583189,115948237,1,34185439
2018,112583189,115952928,1,34185440
2018,112574574,115952937,1,34185453
2018,112579341,115952954,19,34180833
2018,112574605,115955293,1,34177093
2018,112574637,115952996,3,34185468
2018,112583315,115948379,3,34177110
2018,112583320,115955384,21,34177113
2018,112583364,115953092,5,34180884
2018,112579485,115953101,5,34177127
2018,112579501,115955443,5,34185501
2018,112579501,115955442,18,34185499
2018,112583393,115953123,21,34180895
2018,112583410,115953140,24,34177133
2018,112583410,115953139,24,34177132
2018,112583432,115953160,25,34177146
2018,112583432,115953161,3,34177147
2018,112574807,115953160,3,34185517
2018,112574807,115953161,25,34185518
2018,112574810,115953156,18,34180907
2018,112583437,115955471,24,34180911
2018,112574810,115955472,24,34177149
2018,112574810,115955471,24,34177148
2018,112583437,115948470,18,34177155
2018,112574815,115948470,18,34177153
2018,112574815,115953156,18,34185521
2018,112574815,115955471,24,34185520
2018,112574810,115948470,18,34177150
2018,112583437,115955472,24,34177154
2018,112574815,115955472,24,34177151
2018,112583437,115953156,18,34177156
2018,112579562,115953179,1,34180919
2018,112579562,115953177,1,34180918
2018,112574826,115955502,19,34185523
2018,112583452,115955502,19,34185524
2018,112574887,115953254,1,34180938
2018,112574957,115953321,3,34177187
2018,112574986,115955639,5,34177193
2018,112583652,115953407,5,34177205
2018,112575040,115953407,21,34185572
2018,112583651,115953407,5,34185574
2018,112575081,115955732,18,34180967
2018,112579861,115953486,1,34180971
2018,112575154,115955785,1,34180972
2018,112575154,115953486,1,34185592
2018,112579861,115955785,1,34185591
2018,112575171,115953511,3,34185597
2018,112575262,115955899,3,34185614
2018,112580005,115955918,21,34185624
2018,112575298,115953645,21,34185628
2018,112575298,115955934,16,34181006
2018,112580027,115948877,24,34181009
2018,112575304,115948877,24,34185630
2018,112580028,115948877,24,34185631
2018,112575322,115953668,13,34185636
2018,112580056,115948909,3,34181015
2018,112575330,115953672,1,34177253
2018,112580058,115953672,15,34185642
2018,112580083,115948922,16,34181017
2018,112583910,115953697,1,34181018
2018,112575349,115953696,5,34177256
2018,112580090,115953696,3,34181019
2018,112583921,115953712,21,34177261
2018,112575420,115948980,1,34181025
2018,112584158,115949169,21,34181059
2018,112575801,115954080,15,34185717
2018,112580510,115949454,24,34181121
2018,112575912,115956533,17,34185741
2018,112575911,115956533,19,34177380
2018,112580611,115949590,3,34181137
2018,111053622,114387564,21,33641869
2018,111060967,114395541,5,33641890
2018,111060991,114387652,3,33646856
2018,111061064,114390466,15,33646867
2018,111053819,114395703,24,33652806
2018,111061088,114390496,3,33646885
2018,111056557,114395745,3,33641942
2018,111061214,114395978,16,33646907
2018,111061214,114395977,16,33641995
2018,111054102,114390709,21,33652864
2018,111061415,114396287,1,33642051
2018,111057130,114396343,5,33642065
2018,111056217,114387477,3,33641850
2018,111060909,114395465,19,33641871
2018,111053644,114387587,21,33646848
2018,111053753,114395594,18,33641897
2018,111061015,114395594,18,33646861
2018,111056453,114387706,3,33641907
2018,111056681,114387891,18,33652843
2018,111061291,114390668,3,33646916
2018,111061319,114396133,1,33646921
2018,111053519,114390218,21,33646812
2018,111056277,114387547,21,33641866
2018,111060940,114395497,1,33652766
2018,111053696,114390374,3,33641889
2018,111061008,114390418,1,33646860
2018,111061008,114387667,1,33641892
2018,111056446,114390456,17,33652790
2018,111061145,114395842,3,33652833
2018,111053922,114395843,1,33652834
2018,111053932,114387886,4,33652838
2018,111061327,114388053,17,33646924
2018,110226008,113561989,15,33362580
2018,110226011,113557973,3,33371338
2018,110226240,113562266,21,33362669
2018,110226301,113558269,1,33371429
2018,110226596,113563880,24,33367393
2018,110225161,113558595,16,33367396
2018,110225252,113564101,3,33371519
2018,110231902,113568791,1,33362887
2018,110230525,113557966,1,33362572
2018,110226013,113557975,19,33371339
2018,110224477,113553055,16,33367224
2018,110224515,113558052,21,33367229
2018,110224553,113553138,17,33367246
2018,110224552,113553138,19,33362629
2018,110230714,113558101,15,33371370
2018,110230808,113553241,1,33362646
2018,110230808,113562224,1,33362645
2018,110230837,113553269,16,33367293
2018,110226206,113553269,19,33371398
2018,110226207,113553269,16,33367294
2018,110226269,113558238,3,33371418
2018,110226315,113558283,3,33371437
2018,110226336,113553462,17,33362721
2018,110224869,113562443,24,33367339
2018,110225206,113564030,26,33367401
2018,110226759,113562865,1,33362869
2018,110225290,113562865,24,33362871
2018,110231774,113562865,24,33362870
2018,110231772,113562865,24,33371524
2018,116611639,119949945,3,35545354
2018,116616505,119945182,24,35540404
2018,116616505,119940302,24,35545381
2018,116606687,119940301,16,35545380
2018,116606690,119940301,21,35535415
2018,116606749,119940340,3,35540426
2018,116606830,119950127,18,35540435
2018,116611853,119940486,1,35540452
2018,116611967,119940608,21,35535508
2018,116607015,119945471,26,35535510
2018,116612013,119940638,1,35535529
2018,116607057,119945507,17,35540496
2018,116607078,119940686,24,35540504
2018,116607079,119940686,3,35540505
2018,116612061,119940686,24,35535562
2018,116612120,119950351,7,35540522
2018,116607261,119945720,15,35540534
2018,116616935,119940880,18,35545488
2018,116616955,119950477,16,35540542
2018,116616963,119950485,3,35535610
2018,116612262,119940910,3,35545493
2018,116616976,119945780,3,35540544
2018,110230541,113552993,3,33371334
2018,110230647,113553088,17,33362612
2018,110224555,113553139,16,33367247
2018,110224582,113562171,18,33367265
2018,110224582,113558127,18,33367264
2018,110226154,113558127,18,33371380
2018,110226154,113562171,18,33371382
2018,110226564,113563828,1,33362813
2018,111053596,114390286,21,33652741
2018,116607369,119945837,24,35540556
2018,116607450,119945924,24,35540574
2018,110224768,113562340,5,33367307
2018,110230962,113562340,5,33362693
2018,110224768,113558263,5,33362692
2018,110230962,113558263,5,33362694
2018,110231031,113562387,9,33362723
2018,110231452,113563839,3,33367390
2018,110231498,113562706,1,33362827
2018,110231498,113563882,25,33362828
2018,110231496,113563882,1,33362826
2018,110231496,113562706,25,33362825
2018,110231630,113564004,1,33362846
2018,110231628,113564004,3,33362845
2018,111053538,114387469,3,33652728
2018,111060856,114395412,1,33646821
2018,111053580,114390274,3,33646829
2018,111060881,114395433,21,33641862
2018,111056265,114387541,25,33646835
2018,111056265,114395443,3,33652742
2018,111061057,114390463,21,33652794
2018,111056497,114387740,1,33641925
2018,111056550,114395741,24,33652818
2018,111061227,114390606,3,33641999
2018,111061227,114390604,3,33641998
2018,111061227,114395990,1,33646909
2018,111054044,114396067,6,33652857
2018,111061277,114390660,3,33642012
2018,111060826,114395377,18,33652724
2018,111053518,114395377,18,33646813
2018,111056300,114390309,3,33641870
2018,111056315,114390325,1,33641876
2018,111053657,114395502,3,33652769
2018,111060951,114387609,14,33646853
2018,111061087,114387776,1,33652814
2018,111056561,114395750,3,33641945
2018,111054104,114396134,18,33646922
2018,110226600,113563879,1,33367395
2018,110231793,113562874,14,33362875
2018,110226770,113562874,14,33371526
2018,110230529,113552978,24,33362576
2018,110224442,113553011,18,33367215
2018,110230592,113553048,3,33371344
2018,110230657,113562095,16,33367230
2018,110230945,113562330,1,33371424
2018,110224984,113553676,1,33367368
2018,110225013,113562592,26,33367372
2018,110231364,113562626,9,33362805
2018,110231374,113563768,3,33362806
2018,110226655,113563967,24,33371506
2018,110226700,113564035,18,33362851
2018,110226700,113564036,18,33362852
2018,110225369,113564303,3,33362890
2018,110226148,113553169,21,33371375
2018,110230842,113553274,21,33362661
2018,110230860,113553294,21,33367297
2018,110226327,113553439,1,33362714
2018,110231030,113553467,7,33362722
2018,110231055,113562403,25,33362731
2018,110224835,113562403,3,33371450
2018,110224835,113562404,25,33362732
2018,110231055,113562404,3,33371448
2018,110231082,113562420,26,33362738
2018,110231082,113558340,25,33371456
2018,110231081,113562420,25,33367336
2018,110231081,113558340,26,33367335
2018,110231218,113562536,3,33362764
2018,110231223,113553638,26,33362766
2018,110231235,113553655,18,33362773
2018,110231415,113562654,24,33362810
2018,110225112,113562689,21,33362821
2018,110226752,113564142,17,33371522
2018,110226662,113563971,21,33362838
2018,125669945,129160909,15,38975632
2018,112574503,115948204,1,34185421
2018,112574683,115948352,1,34185480
2018,112574739,115955409,19,34180882
2018,112579511,115953128,1,34180896
2018,112574883,115953246,1,34185530
2018,112579626,115955560,1,34180939
2018,112574930,115955589,18,34185546
2018,112575055,115948696,12,34185578
2018,112579811,115955726,16,34185580
2018,112575275,115948847,16,34181001
2018,112580050,115948907,3,34177252
2018,113666129,117011862,1,34510864
2018,113653255,117020372,1,34510891
2018,113653263,117020381,1,34510895
2018,113653264,117020381,1,34510896
2018,113659125,117020392,5,34510169
2018,111053522,114395381,24,33652726
2018,111053523,114395381,3,33652727
2018,111056247,114390271,21,33641858
2018,111060937,114387589,3,33646849
2018,111053955,114395906,16,33641991
2018,111057062,114388143,16,33652880
2018,111054213,114396278,16,33642048
2018,111054213,114388143,16,33642047
2018,111057062,114396278,16,33642049
2018,111054258,114388187,1,33642064
2018,111053584,114387526,16,33652738
2018,111053583,114387526,3,33646831
2018,111053643,114390330,1,33652763
2018,111053643,114390329,25,33652762
2018,111060935,114390329,1,33652760
2018,111060935,114390330,25,33652761
2018,111060947,114387605,16,33641882
2018,111056513,114387751,3,33641930
2018,111053898,114395796,3,33641964
2018,111061167,114387895,19,33641987
2018,111061166,114387895,17,33641986
2018,111056713,114395900,1,33641990
2018,111053974,114387923,5,33652848
2018,111056762,114390601,3,33641997
2018,111061329,114388055,24,33646925
2018,111056944,114388055,24,33646926
2018,111056944,114388056,24,33646927
2018,111061329,114388056,24,33642020
2018,111056962,114388074,18,33652869
2018,111056962,114388073,18,33642025
2018,111054128,114388074,18,33652868
2018,111054128,114388073,18,33652867
2018,111054194,114396244,4,33652875
2018,111054212,114396275,16,33652879
2018,111061410,114396275,16,33642045
2018,111061410,114396276,16,33652878
2018,111054212,114396276,16,33642046
2018,112573458,115947076,1,34176822
2018,112573525,115944254,1,34180563
2018,112582187,115947197,3,34176846
2018,112573605,115951739,24,34176865
2018,112573713,115947388,17,34175259
2018,112578459,115947493,1,34180666
2018,112574120,115952479,3,34185351
2018,112578965,115952597,24,34185365
2018,112582893,115952624,16,34180775
2018,112579173,115948132,3,34177060
2018,112579332,115952940,22,34177080
2018,112579547,115953162,24,34180906
2018,112574812,115953162,24,34180908
2018,112574811,115953162,24,34185519
2018,112574814,115953162,24,34177152
2018,112583501,115948539,3,34180932
2018,112579672,115955597,24,34185547
2018,112580046,115948902,1,34181013
2018,112584157,115949167,1,34181058
2018,112575928,115949534,1,34177388
2018,112575929,115949533,1,34177389
2018,112575929,115949534,25,34185745
2018,112575928,115949533,25,34177387
2018,112575952,115956576,3,34185749
2018,112580594,115954198,18,34177395
2018,112584533,115954210,24,34177398
2018,112584614,115956646,5,34177411
2018,111053582,114395428,25,33652737
2018,111053582,114395427,18,33652736
2018,111060878,114395427,25,33641859
2018,111060878,114395428,18,33641860
2018,111060962,114387629,26,33652777
2018,111056406,114390428,5,33641895
2018,111061035,114387691,16,33652786
2018,111054162,114388104,26,33652874
2018,111057022,114388127,21,33642035
2018,111060872,114387515,25,33646825
2018,111060873,114387515,1,33652734
2018,111060872,114395424,1,33652733
2018,111060873,114395424,25,33646827
2018,111056321,114390337,1,33641879
2018,111056321,114395496,1,33641878
2018,111053937,114390565,18,33652842
2018,111061179,114395897,3,33652846
2018,111056853,114387991,21,33642010
2018,111061296,114390673,18,33646918
2018,111061331,114390722,21,33642021
2018,111061332,114390722,5,33646928
2018,111054132,114390730,16,33652870
2018,111054257,114390833,18,33642063
2018,111054263,114396349,6,33652885
2018,111053521,114395382,3,33652725
2018,111053590,114387536,5,33652740
2018,111056291,114387565,1,33652748
2018,111060918,114387578,5,33641873
2018,111056305,114387578,21,33646844
2018,111060919,114387578,5,33646845
2018,111056316,114387585,13,33652759
2018,111053652,114395500,19,33652768
2018,111056390,114390408,21,33646859
2018,111053859,114395749,25,33641944
2018,111061097,114395748,25,33646889
2018,111053859,114395748,19,33641943
2018,111061097,114395749,19,33646890
2018,111053946,114387906,3,33652845
2018,111061207,114390596,3,33646906
2018,111057023,114396231,19,33646936
2018,111054220,114390799,19,33642053
2018,112575465,115949013,3,34185664
2018,112575982,115956599,19,34177401
2018,112580615,115956599,19,34181138
2018,112584541,115956599,23,34181140
2018,112584687,115954354,16,34177421
2018,112583112,115952818,3,34185410
2018,112579315,115952931,25,34185444
2018,112574559,115952931,1,34180818
2018,116705024,120030863,3,35582887
2018,112574895,115955561,1,34180940
2018,112574895,115955562,25,34180941
2018,112579630,115955561,25,34185534
2018,112579630,115955562,1,34177174
2018,112579729,115948640,21,34185559
2018,112579808,115955724,1,34185579
2018,112579821,115955738,18,34180968
2018,112579855,115955780,5,34185590
2018,116705037,120030878,4,35578556
2018,116707405,120030892,3,35578563
2018,116705088,120026240,3,35582904
2018,116700594,120030974,6,35564833
2018,116707516,120030980,1,35564834
2018,116707517,120030980,1,35582920
2018,116707530,120030990,1,35578592
2018,116707530,120026288,1,35582928
2018,116707530,120030989,1,35578591
2018,116707530,120026287,3,35582927
2018,116700691,120026472,15,35564851
2018,116707807,120031227,3,35578673
2018,116707873,120026641,1,35578701
2018,116707872,120026641,1,35578700
2018,116705402,120026669,17,35583019
2018,116707933,120026716,1,35578722
2018,112579315,115952932,1,34185445
2018,112574559,115952932,25,34180819
2018,110225023,113558462,3,33367379
2018,110225023,113553709,25,33367378
2018,110225021,113553709,3,33362788
2018,110225021,113558462,25,33371482
2018,110226590,113562702,17,33371494
2018,110231681,113564074,23,33371514
2018,110226743,113562841,9,33362865
2018,110225261,113562841,25,33367410
2018,110225261,113564125,9,33367409
2018,110226743,113564125,25,33362864
2018,111053544,114390240,19,33646817
2018,111053745,114390414,3,33652783
2018,111056485,114387730,1,33641919
2018,111053814,114390476,1,33652804
2018,111054188,114390775,18,33646935
2018,111057091,114396306,1,33642055
2018,111057091,114396308,1,33646940
2018,111057094,114396308,1,33652883
2018,111061428,114396307,1,33642060
2018,111057094,114396307,1,33642058
2018,111057091,114396307,1,33642056
2018,111061428,114396308,1,33646941
2018,111061428,114396306,1,33642059
2018,111057094,114396306,1,33642057
2018,112574454,115955140,18,34185412
2018,112579243,115952863,3,34180804
2018,112579269,115952884,17,34180811
2018,112583203,115955262,16,34185456
2018,112579363,115955295,3,34180842
2018,112579376,115948287,3,34180847
2018,112583506,115953250,3,34177171
2018,112583507,115953250,1,34180937
2018,111056234,114395405,9,33641854
2018,111053567,114395416,1,33652732
2018,111060875,114390273,1,33646828
2018,111060884,114390278,16,33641863
2018,111056268,114390287,24,33641864
2018,111060897,114395450,16,33646841
2018,111056279,114395450,16,33652747
2018,111056330,114395512,10,33641881
2018,111053730,114390410,15,33652781
2018,111053754,114387671,18,33652784
2018,111053803,114387727,3,33652798
2018,111053813,114387741,17,33652803
2018,111056668,114387881,1,33641977
2018,111061153,114390556,3,33641978
2018,111056711,114395895,3,33641989
2018,111056721,114395909,1,33641992
2018,111056756,114395971,18,33641994
2018,111056811,114387972,18,33646912
2018,111054037,114387982,17,33652855
2018,111056895,114396103,19,33646919
2018,111054117,114396148,3,33652866
2018,111056949,114396158,21,33642022
2018,111054217,114396286,16,33652882
2018,111057107,114388175,5,33642061
2018,111060823,114387449,3,33652723
2018,111053556,114387489,15,33646819
2018,111053634,114387581,3,33652758
2018,111053776,114390451,1,33652788
2018,111053776,114395630,1,33652789
2018,111053810,114390475,3,33652802
2018,111056676,114390562,24,33652840
2018,111056736,114395931,1,33641993
2018,111054002,114390611,18,33646910
2018,111054191,114396235,21,33642036
2018,112583161,115952893,1,34177073
2018,112583161,115952894,1,34185427
2018,112583187,115955237,18,34185438
2018,112583207,115955272,24,34177085
2018,112583234,115952986,9,34177096
2018,112574772,115948446,3,34177130
2018,112575802,115956437,1,34185719
2018,112580478,115954093,24,34181110
2018,112575824,115954093,24,34177358
2018,112574914,115953274,21,34177178
2018,112579640,115953274,15,34180946
2018,112583532,115948567,15,34185542
2018,112574919,115953281,5,34185541
2018,112574921,115953281,5,34180950
2018,112583533,115953281,5,34180949
2018,112574924,115955581,1,34180951
2018,112574924,115955582,1,34180952
2018,112583539,115953292,3,34177183
2018,112574943,115953309,11,34177184
2018,112574963,115948604,3,34185557
2018,112583572,115948604,24,34177188
2018,112574962,115948604,24,34185556
2018,112575041,115955701,16,34185573
2018,112579781,115948686,3,34185577
2018,112575042,115955700,16,34185575
2018,112579779,115953406,1,34177204
2018,112575042,115953406,1,34185576
2018,112579779,115955700,1,34177203
2018,112575088,115955743,19,34177208
2018,112579829,115948723,18,34185584
2018,112579829,115955745,18,34185585
2018,112583729,115948758,3,34177212
2018,112583752,115953516,1,34185598
2018,112575205,115953547,1,34180985
2018,112579922,115953547,1,34180986
