"DATA_YEAR","SUSPECT_USING_ID","OFFENSE_ID"
2018,3,139080309
2018,3,139080310
2018,4,139080969
2018,4,126351208
2018,4,126345059
2018,4,126351234
2018,4,126351235
2018,4,126351246
2018,4,126345085
2018,4,126347982
2018,4,126347986
2018,4,123971188
2018,4,126345112
2018,4,126345144
2018,4,123975939
2018,4,126352702
2018,4,123975980
2018,4,126348037
2018,3,123976014
2018,3,123976013
2018,4,123971296
2018,1,123969845
2018,4,123976052
2018,4,123976054
2018,4,123969880
2018,4,126348038
2018,4,126348042
2018,4,126351329
2018,1,123971433
2018,4,123969927
2018,4,123971454
2018,3,123971457
2018,4,123969972
2018,4,123971509
2018,4,123971523
2018,4,123971533
2018,4,126345186
2018,4,123976193
2018,4,123971559
2018,4,123971577
2018,4,123976209
2018,4,123971596
2018,4,126351357
2018,4,123970059
2018,1,123976234
2018,3,123970073
2018,3,123976241
2018,4,126345200
2018,4,126345201
2018,4,123976276
2018,4,123970148
2018,1,123976291
2018,3,123970159
2018,4,123976302
2018,4,123971770
2018,4,126348096
2018,4,123970193
2018,4,126352667
2018,3,123971812
2018,3,123971831
2018,3,123971830
2018,4,123971836
2018,4,123970247
2018,4,123971866
2018,4,123976352
2018,4,123976357
2018,4,123976365
2018,4,123976383
2018,3,123976391
2018,4,123976397
2018,4,123976398
2018,4,123971978
2018,4,123971996
2018,4,123971999
2018,4,123976460
2018,4,123972065
2018,4,123972079
2018,4,123972107
2018,4,123972120
2018,4,123976525
2018,4,123972173
2018,4,123976532
2018,4,123972204
2018,4,123980496
2018,4,123976559
2018,4,123980512
2018,4,123980529
2018,4,123972260
2018,4,123980555
2018,4,123972298
2018,4,123972296
2018,4,123972299
2018,4,123976629
2018,4,123980579
2018,4,123976648
2018,4,123972367
2018,4,123976669
2018,4,126345231
2018,4,123976682
2018,4,123980622
2018,4,123972438
2018,4,123980650
2018,4,123976778
2018,4,126345247
2018,4,126348134
2018,4,126345269
2018,4,126356441
2018,4,126356466
2018,1,126348155
2018,4,126345286
2018,4,126348161
2018,4,126351467
2018,3,126345302
2018,3,126345301
2018,4,126351474
2018,4,126345308
2018,4,126348177
2018,4,126345313
2018,4,126345314
2018,4,126351487
2018,4,126348186
2018,4,126351490
2018,4,126351491
2018,4,126345328
2018,4,126351497
2018,4,126351504
2018,4,126345342
2018,4,126351517
2018,4,126351516
2018,4,126351522
2018,4,126345360
2018,4,126345359
2018,4,126351531
2018,4,126348204
2018,4,126345364
2018,4,126351541
2018,4,126348212
2018,4,126345379
2018,4,126348213
2018,4,126348214
2018,4,126345387
2018,4,126345391
2018,4,126351545
2018,4,126348223
2018,4,126345393
2018,4,126348227
2018,4,126348226
2018,4,126348228
2018,4,126345396
2018,4,126348231
2018,4,126348241
2018,4,126345408
2018,4,126348245
2018,4,126345415
2018,4,126351577
2018,4,126345433
2018,4,126351580
2018,4,126345438
2018,4,126348282
2018,4,126345444
2018,4,126351596
2018,4,126345453
2018,4,126348296
2018,4,126348298
2018,4,126345460
2018,4,126348300
2018,4,126345462
2018,4,126351615
2018,4,126351618
2018,4,126351621
2018,4,126345475
2018,4,126351628
2018,4,126345479
2018,4,126349384
2018,4,126347860
2018,4,123971181
2018,4,123969731
2018,4,123971223
2018,4,123975954
2018,4,123975963
2018,4,123975972
2018,4,123969815
2018,4,123971269
2018,4,123976003
2018,4,123971276
2018,4,123969830
2018,4,123976048
2018,4,123969870
2018,4,123976056
2018,4,126347862
2018,4,123976159
2018,4,123969994
2018,4,123971536
2018,4,123971544
2018,4,123976200
2018,4,123976201
2018,4,126341110
2018,4,126341116
2018,4,123976233
2018,3,123971618
2018,3,123971622
2018,4,123971626
2018,4,123971649
2018,4,123970123
2018,1,126341126
2018,4,123971709
2018,4,123971711
2018,4,123970151
2018,4,123970157
2018,1,123970163
2018,4,123976305
2018,3,123970186
2018,1,123971782
2018,4,123976320
2018,1,123970208
2018,4,123970226
2018,4,123970228
2018,4,123970275
2018,4,123970276
2018,4,123971895
2018,4,123976378
2018,4,123970294
2018,4,123970310
2018,4,123970311
2018,4,123976400
2018,1,123980332
2018,3,123980342
2018,4,123971987
2018,1,126341134
2018,4,123980372
2018,4,123980387
2018,4,123980394
2018,4,123972063
2018,4,123980417
2018,4,123972067
2018,4,123972127
2018,4,123976514
2018,4,123976523
2018,1,123972177
2018,4,123976533
2018,4,123980484
2018,4,123972208
2018,4,123972211
2018,4,123980510
2018,4,123976591
2018,4,123972270
2018,4,123980561
2018,4,123976616
2018,4,123972312
2018,4,123976628
2018,4,126356426
2018,4,126349385
2018,4,126345120
2018,4,123972433
2018,4,123972432
2018,4,123972446
2018,4,123976719
2018,4,123972473
2018,4,123972498
2018,4,123972509
2018,4,123980720
2018,4,126345197
2018,4,123972562
2018,4,123976791
2018,4,126345003
2018,3,126347889
2018,3,126347888
2018,4,126351178
2018,4,126347983
