"DATA_YEAR","PROPERTY_ID","PROP_DESC_ID","PROPERTY_VALUE","DATE_RECOVERED","NIBRS_PROP_DESC_ID"
2018,102200515,63,600,,108764939
2018,102200515,17,3800,,108764936
2018,102200515,25,5000,,108764933
2018,102200312,54,100,,108764697
2018,102200380,4,400,,108764778
2018,102200503,63,1000,,108764927
2018,102200519,10,,,108764942
2018,102200533,4,300,,108764963
2018,102200568,10,40,,108764998
2018,102200604,63,2,,108765041
2018,102200610,63,2,15-JUN-18,108765046
2018,102200662,63,100,,108765113
2018,102200745,16,50,,108765214
2018,102200974,20,700,,108765478
2018,102201012,3,1,,108765526
2018,102201240,36,1392,,108765798
2018,102201240,26,1250,,108765810
2018,102201303,63,600,,108765900
2018,102201378,63,200,,108765988
2018,102201415,19,60,26-MAY-18,108766026
2018,102201413,19,60,,108766021
2018,102201495,16,1,,108766128
2018,102201556,52,0,,108766213
2018,102201561,11,1,,108766221
2018,102201579,63,1,,108766245
2018,102201598,7,400,,108766271
2018,102199999,11,1,,108764306
2018,102199999,10,,,108764305
2018,102200034,25,10,01-MAY-18,108764368
2018,102200029,25,10,,108764362
2018,102200117,10,,,108764455
2018,102200200,43,33,11-MAY-18,108764564
2018,102200196,43,33,,108764558
2018,102200226,22,0,,108764596
2018,102200300,6,28,20-MAY-18,108764683
2018,102200293,6,28,,108764676
2018,102200897,64,800,,108765392
2018,102200989,50,30,,108765501
2018,102201200,16,1,,108765740
2018,102201258,64,1,07-MAY-18,108765846
2018,102201251,64,1,,108765833
2018,102201531,38,100,,108766182
2018,102201553,52,0,,108766211
2018,102201568,38,250,,108766229
2018,102201603,36,1,,108766277
2018,102201632,63,80,,108766316
2018,102201655,11,1,,108766344
2018,107273693,15,6500,,115262491
2018,102201310,38,1,,108765902
2018,102201606,29,400,,108766279
2018,102201619,41,1,,108766298
2018,102201619,16,1,,108766292
2018,102201619,43,1,,108766299
2018,102201619,45,1,,108766300
2018,102201619,36,1,,108766293
2018,102201619,38,1,,108766296
2018,102201669,63,502,,108766362
2018,107277861,15,6500,25-JUN-18,115262492
2018,107269192,17,5100,,115262574
2018,107269149,63,1,,115262500
2018,107277906,17,400,13-AUG-18,115256018
2018,107269192,20,20,,115256017
2018,107279216,6,175,,115260105
2018,107279216,17,12500,,115260104
2018,107279227,51,0,,115260116
2018,107277944,61,1,,115260137
2018,107278010,10,,,115256215
2018,107279302,10,,,115260229
2018,107273868,63,27,,115262732
2018,107278021,39,393,,115262736
2018,107273892,36,975,,115260273
2018,107278062,8,2,,115256272
2018,107273929,63,1,,115256291
2018,107278084,62,6000,,115256296
2018,107279372,62,6000,29-AUG-18,115260330
2018,107273950,21,18,,115262820
2018,107278121,7,300,,115256325
2018,107279415,47,0,,115262845
2018,107279434,54,1,,115260409
2018,107273980,20,480,,115262865
