"DATA_YEAR","VICTIM_ID","OFFENSE_ID"
2018,103699406,117386152
2018,103700091,117386815
2018,103700091,117386818
2018,103696832,117383591
2018,103696841,117383600
2018,103696841,117383601
2018,103696847,117383609
2018,103696862,117383623
2018,103696879,117383643
2018,103696951,117383707
2018,103697327,117384091
2018,103697324,117384093
2018,103697360,117384130
2018,103697374,117384133
2018,103697374,117384126
2018,103697393,117384168
2018,103697393,117384158
2018,103697401,117384181
2018,103697400,117384176
2018,103697504,117384286
2018,103697521,117384301
2018,103697521,117384305
2018,103697545,117384319
2018,103697618,117384402
2018,103697642,117384436
2018,103697663,117384453
2018,103697889,117384668
2018,103697914,117384704
2018,103697955,117384739
2018,103697957,117384738
2018,103697954,117384738
2018,103697962,117384745
2018,103698168,117384953
2018,103698203,117384982
2018,103699355,117386094
2018,103699383,117386129
2018,103699444,117386187
2018,103699461,117386197
2018,103699498,117386231
2018,103699618,117386353
2018,103699614,117386336
2018,103699903,117386623
2018,103699891,117386617
2018,103699917,117386636
2018,103699917,117386633
2018,103699979,117386694
2018,103699973,117386702
2018,103700059,117386791
2018,103700103,117386827
2018,103700103,117386831
2018,106210404,119927015
2018,106210601,119927220
2018,106215111,119931753
2018,106215213,119931858
2018,106215325,119931962
2018,106215356,119931992
2018,106215398,119932036
2018,106215476,119932104
2018,106215509,119932135
2018,106215566,119932197
2018,106215696,119932333
2018,106215728,119932358
2018,106215788,119932419
2018,106215792,119932423
2018,106215892,119932516
2018,105831759,119542762
2018,105831772,119542776
2018,105831785,119542793
2018,105831915,119542930
2018,105831988,119543009
2018,105831986,119543010
2018,105832078,119543101
2018,105832107,119543129
2018,105832232,119543271
2018,105832279,119543303
2018,105833057,119544067
2018,105833071,119544080
2018,105833078,119544086
2018,105833179,119544179
2018,105833196,119544196
2018,105833322,119544315
2018,105833411,119544397
2018,105833414,119544397
2018,105833478,119544460
2018,105833501,119544479
2018,105833581,119544557
2018,105833955,119544920
2018,105833946,119544920
2018,105834017,119544991
2018,105256765,118963907
2018,105256860,118964027
2018,105257279,118964493
2018,105257310,118964532
2018,105257396,118964628
2018,105257616,118964883
2018,105257616,118964891
2018,105257647,118964920
2018,105257647,118964919
2018,105257688,118964976
2018,105257924,118965232
2018,105257924,118965234
2018,105257924,118965237
2018,105257981,118965323
2018,105258016,118965361
2018,105256916,118964076
2018,105257377,118964591
2018,105257434,118964669
2018,105257509,118964763
2018,105257600,118964859
2018,105257600,118964858
2018,105257736,118965035
2018,105257797,118965098
2018,105257838,118965139
2018,105257999,118965347
2018,105258032,118965378
2018,105258374,118965727
2018,105258421,118965782
2018,105258578,118965933
2018,105258645,118966013
2018,105258895,118966292
2018,105258993,118966389
2018,106210504,119927117
2018,106210677,119927305
2018,106210963,119927576
2018,106210963,119927575
2018,106210956,119927574
2018,106211095,119927737
2018,106211095,119927732
2018,106211155,119927795
2018,106211327,119927978
2018,106211364,119928005
2018,106211594,119928265
2018,106211650,119928332
2018,106211679,119928362
2018,106211783,119928468
2018,106211858,119928543
2018,106211890,119928572
2018,106211928,119928609
2018,106211960,119928636
2018,106211960,119928635
2018,106211996,119928673
2018,106212019,119928697
2018,106212142,119928825
2018,106212142,119928826
2018,106212246,119928929
2018,106212290,119928976
2018,106212328,119929011
2018,106212357,119929041
2018,106212395,119929085
2018,106212460,119929145
2018,106212478,119929163
2018,106212485,119929163
2018,106212531,119929204
2018,106212689,119929335
2018,106212683,119929335
2018,106212712,119929359
2018,106212715,119929363
2018,106212774,119929417
2018,106212774,119929416
2018,106212848,119929493
2018,106212948,119929580
2018,106212983,119929614
2018,106212999,119929630
2018,106213028,119929663
2018,106213066,119929705
2018,106213301,119929913
2018,106213306,119929913
2018,106213377,119930007
2018,106213415,119930044
2018,106213564,119930185
2018,106213739,119930374
2018,106213800,119930429
2018,106213828,119930451
2018,106213828,119930452
2018,106213862,119930493
2018,106213918,119930542
2018,106213923,119930542
2018,106213985,119930603
2018,106214026,119930646
2018,106214092,119930714
2018,106214125,119930742
2018,106214200,119930829
2018,106214329,119930964
2018,106214889,119931544
2018,106214938,119931590
2018,106214947,119931598
2018,106215064,119931712
2018,106215355,119931987
2018,106215352,119931987
2018,106215420,119932050
2018,106215619,119932252
2018,106215615,119932252
2018,106215680,119932310
2018,106215678,119932312
2018,106215751,119932381
2018,106215779,119932412
2018,106215804,119932434
2018,106215804,119932432
2018,106215877,119932507
2018,106215920,119932546
2018,106215958,119932584
2018,105256682,118963815
2018,105256680,118963815
2018,105256791,118963936
2018,105256793,118963936
2018,105256844,118964009
2018,105257642,118964903
2018,105257751,118965044
2018,105257925,118965231
2018,105257925,118965235
2018,105257931,118965250
2018,105257931,118965251
2018,105258023,118965360
2018,105258030,118965360
2018,105258026,118965367
2018,105258026,118965360
2018,105258023,118965364
2018,105258023,118965367
2018,105258095,118965449
2018,105258215,118965575
2018,105258542,118965889
2018,105258537,118965891
2018,105258537,118965896
2018,105258650,118966021
2018,105258691,118966062
2018,105258767,118966150
2018,105256700,118963835
2018,105256736,118963871
2018,105256732,118963871
2018,105256859,118964023
2018,105257259,118964463
2018,105257355,118964584
2018,105257408,118964642
2018,105257510,118964769
2018,105257767,118965066
2018,105257893,118965204
2018,105257983,118965324
2018,105258001,118965343
2018,105258001,118965338
2018,105258208,118965569
2018,105258803,118966182
2018,106210435,119927046
2018,106210485,119927096
2018,106210487,119927093
2018,106210577,119927193
2018,106210800,119927431
2018,106210800,119927434
2018,106210818,119927456
2018,106210926,119927564
2018,106210933,119927570
2018,106210935,119927564
2018,106211169,119927814
2018,106211176,119927814
2018,106211173,119927814
2018,106211285,119927931
2018,106211355,119928008
2018,106211429,119928086
2018,106211436,119928092
2018,106211554,119928222
2018,106211597,119928272
2018,106211654,119928334
2018,106211806,119928495
2018,106211836,119928516
2018,106211878,119928559
2018,106211876,119928559
2018,106211898,119928582
2018,106212143,119928832
2018,106212174,119928861
2018,106212291,119928974
2018,106212345,119929031
2018,106212354,119929037
2018,106212403,119929097
2018,106213372,119929998
2018,106213430,119930060
2018,106213693,119930320
2018,106213695,119930316
2018,106213749,119930379
2018,106213837,119930467
2018,106213868,119930497
2018,106213924,119930545
2018,106213954,119930570
2018,106213979,119930596
2018,106214015,119930635
2018,106214274,119930910
2018,106214412,119931046
2018,106214489,119931130
2018,106214649,119931294
2018,106215134,119931777
2018,106215197,119931844
2018,106215222,119931866
2018,106215264,119931898
2018,106215277,119931914
2018,106215310,119931940
2018,106215358,119931995
2018,106215404,119932043
2018,106215456,119932087
2018,106215550,119932178
2018,106215630,119932261
2018,106215952,119932573
2018,106215972,119932596
2018,104552386,118251377
2018,104552408,118251402
2018,104552546,118251558
2018,104552595,118251611
2018,104552595,118251607
2018,104552818,118251867
2018,104552836,118251884
2018,104553284,118252339
2018,104553569,118252615
2018,104553648,118252692
2018,104555367,118254339
2018,104555468,118254439
2018,104555484,118254456
2018,104555570,118254529
2018,104555570,118254526
2018,104555375,118254342
2018,104555374,118254342
2018,104555377,118254342
2018,104555509,118254477
2018,104556807,118255731
2018,104558736,118257588
2018,104552441,118251445
2018,104552786,118251826
2018,104552868,118251919
2018,104553015,118252067
2018,104553260,118252318
2018,104553260,118252321
2018,104553304,118252360
2018,104555571,118254533
2018,104556831,118255748
2018,104556876,118255791
2018,104552648,118251675
2018,104552648,118251671
2018,104552712,118251742
2018,104552784,118251825
2018,104552874,118251920
2018,104552987,118252025
2018,104552987,118252035
2018,104553141,118252196
2018,104553141,118252194
2018,104553179,118252237
2018,104553252,118252306
2018,104553249,118252300
2018,104553702,118252740
2018,104555407,118254386
2018,106211011,119927652
2018,106211038,119927684
2018,106211127,119927774
2018,106211201,119927833
2018,106211296,119927946
2018,106211352,119928010
2018,106211427,119928085
2018,106211637,119928319
2018,106211716,119928394
2018,106211797,119928485
2018,106211823,119928505
2018,106211845,119928532
2018,106211892,119928576
2018,106211919,119928601
2018,106212015,119928692
2018,106212027,119928707
2018,106212185,119928872
2018,106212211,119928897
2018,106212300,119928989
2018,106212340,119929025
2018,106212376,119929060
2018,106212482,119929162
2018,106213310,119929937
2018,106213369,119929991
2018,106213397,119930022
2018,106213459,119930089
2018,106213501,119930134
2018,106213504,119930134
2018,106213562,119930183
2018,106213666,119930294
2018,106213662,119930294
2018,106213709,119930341
2018,106213708,119930341
2018,106213763,119930397
2018,106213795,119930425
2018,106213795,119930422
2018,106213864,119930498
2018,106213951,119930571
2018,106214037,119930654
2018,106214127,119930750
2018,106214169,119930786
2018,106214324,119930956
2018,106214350,119930979
2018,106214596,119931239
2018,106214645,119931290
2018,106215347,119931965
2018,106215331,119931965
2018,106215464,119932094
2018,106215512,119932137
2018,106215732,119932361
2018,106215732,119932357
2018,106215735,119932360
2018,106215801,119932428
2018,106215802,119932430
2018,106215888,119932518
2018,105257401,118964631
2018,105257507,118964759
2018,105257534,118964798
2018,105257534,118964793
2018,105258003,118965341
2018,105258003,118965337
2018,105258383,118965745
2018,105258431,118965785
2018,105258428,118965785
2018,105258432,118965785
2018,105258425,118965785
2018,105258454,118965812
2018,105258448,118965812
2018,105258678,118966049
2018,105258800,118966191
2018,105258982,118966377
2018,104552522,118251526
2018,104553043,118252092
2018,104553228,118252282
2018,104553292,118252353
2018,104553708,118252744
2018,104555372,118254345
2018,104555470,118254441
2018,104555492,118254464
2018,104558692,118257552
2018,104552437,118251439
2018,104552507,118251511
2018,104552537,118251552
2018,104552637,118251667
2018,104552840,118251890
2018,104552964,118252005
2018,104552973,118252005
2018,105831685,119542674
2018,105831694,119542685
2018,105831698,119542693
2018,105831713,119542710
2018,105831773,119542779
2018,105831863,119542886
2018,105831922,119542934
2018,105831913,119542934
2018,105831928,119542934
2018,105831916,119542934
2018,105831907,119542931
2018,105832029,119543050
2018,105832085,119543105
2018,105832170,119543202
2018,105832185,119543216
2018,105832246,119543287
2018,105832302,119543328
2018,105832371,119543395
2018,105832990,119543999
2018,105833234,119544230
2018,105833297,119544293
2018,105833366,119544356
2018,105833435,119544424
2018,105833489,119544467
2018,105833559,119544533
2018,105833651,119544620
2018,105833670,119544644
2018,105833717,119544689
2018,105833718,119544689
2018,105833927,119544906
2018,105834061,119545039
2018,105834076,119545062
2018,105832397,119543421
2018,105832980,119543987
2018,105833044,119544053
2018,105833083,119544091
2018,105833197,119544188
2018,105833193,119544188
2018,105833216,119544214
2018,105833219,119544214
2018,105833231,119544224
2018,105833429,119544415
2018,105833521,119544503
2018,105833551,119544519
2018,105833689,119544666
2018,105833733,119544711
2018,105833733,119544718
2018,105833953,119544912
2018,105833994,119544974
2018,105834035,119545012
2018,104552407,118251397
2018,104552458,118251458
2018,104552580,118251594
2018,104552711,118251749
2018,104552988,118252018
2018,104552988,118252024
2018,104553057,118252109
2018,104553153,118252215
2018,104553153,118252213
2018,104553248,118252309
2018,104553581,118252628
2018,104553689,118252728
2018,104555395,118254372
2018,104555497,118254469
2018,104556835,118255755
2018,104556841,118255755
2018,106210390,119927001
2018,106210616,119927238
2018,106210675,119927302
2018,106210783,119927413
2018,106210783,119927415
2018,106210906,119927550
2018,106210982,119927616
2018,106211082,119927726
2018,106211084,119927726
2018,106211158,119927804
2018,106211197,119927830
2018,106211367,119928026
2018,106211432,119928096
2018,106211611,119928280
2018,106211610,119928280
2018,106211608,119928280
2018,106211613,119928285
