"DATA_YEAR","BIAS_ID","OFFENSE_ID"
2018,21,119927249
2018,21,119927255
2018,21,119927441
2018,21,119927603
2018,21,119927620
2018,21,119927621
2018,21,119927681
2018,21,119927749
2018,21,119927751
2018,21,119927794
2018,21,119927981
2018,21,119927984
2018,21,119928024
2018,21,119928079
2018,21,119928203
2018,21,119928207
2018,21,119928267
2018,21,119928393
2018,21,119928511
2018,21,119928547
2018,21,119928554
2018,21,119928610
2018,21,119928665
2018,21,119928689
2018,21,119928753
2018,21,119928908
2018,21,119928941
2018,21,119928997
2018,21,119929034
2018,21,119929139
2018,21,119929141
2018,21,119929153
2018,21,119929338
2018,21,119929382
2018,21,119929394
2018,21,119929457
2018,21,119929529
2018,21,119929576
2018,21,119929672
2018,21,119929669
2018,21,119929835
2018,21,119929856
2018,21,119929858
2018,21,119929857
2018,21,119929939
2018,21,118963883
2018,21,118964132
2018,21,118964521
2018,21,118964607
2018,21,118964918
2018,21,118964942
2018,21,118965207
2018,21,118965233
2018,21,118965410
2018,21,118965419
2018,21,118965452
2018,21,118965742
2018,21,118965861
2018,21,118965917
2018,21,118965922
2018,21,118965952
2018,21,118965953
2018,21,118965997
2018,21,118963872
2018,21,118964469
2018,22,118964533
2018,21,118964622
2018,21,118964772
2018,21,118964898
2018,21,118964893
2018,21,118964886
2018,21,118965071
2018,21,118965206
2018,21,118965368
2018,21,118965537
2018,21,118965578
2018,21,118965928
2018,21,118965942
2018,21,118965937
2018,21,118966143
2018,21,118966145
2018,21,118966245
2018,21,118966383
2018,21,119927045
2018,21,119927111
2018,21,119927261
2018,21,119927666
2018,21,119927668
2018,21,119927775
2018,21,119927818
2018,21,119928016
2018,21,119928047
2018,21,119928264
2018,21,119928298
2018,21,119928321
2018,21,119928344
2018,21,119928556
2018,21,119928629
2018,21,119928676
2018,21,119928693
2018,21,119928907
2018,21,119928956
2018,21,119928981
2018,21,119929056
2018,21,119929138
2018,21,119929164
2018,22,119929178
2018,21,119929266
2018,21,119929297
2018,21,119929369
2018,21,119929606
2018,21,119929662
2018,21,119929665
2018,21,119929681
2018,21,119929692
2018,21,119929721
2018,21,119929715
2018,21,119929877
2018,21,119929926
2018,21,119929994
2018,21,119930056
2018,21,119930138
2018,21,119930187
2018,21,119930347
2018,21,119930364
2018,21,119930406
2018,21,119930466
2018,21,119930481
2018,21,119930524
2018,21,119930550
2018,21,119930784
2018,21,119930905
2018,21,119930963
2018,21,119931050
2018,21,119931143
2018,21,119931192
2018,21,119931701
2018,21,119931745
2018,21,119931848
2018,21,119931932
2018,21,119931969
2018,21,119932049
2018,21,119932120
2018,21,119932220
2018,21,119932239
2018,21,119932570
2018,21,117383570
2018,21,117384203
2018,22,117384650
2018,22,117384667
2018,21,117385001
2018,21,117386653
2018,21,117386658
2018,21,117386103
2018,21,117386142
2018,21,117386240
2018,21,117386241
2018,21,118251381
2018,21,118251407
2018,22,118251477
2018,21,118251579
2018,21,118251623
2018,22,118251857
2018,22,118251939
2018,21,118252049
2018,21,118252051
2018,21,118252077
2018,21,118252107
2018,22,118251775
2018,21,118251798
2018,22,118251895
2018,21,118252308
2018,21,118252310
2018,21,118252352
2018,21,118252354
2018,21,118252678
2018,21,118254390
2018,21,118254392
2018,21,118254417
2018,21,118254416
2018,21,118254437
2018,21,118254525
2018,21,118255713
2018,21,118255747
2018,21,118251427
2018,21,118251589
2018,21,118251593
2018,21,118251834
2018,21,118251880
2018,21,118251915
2018,21,118252097
2018,21,118252174
2018,21,118252341
2018,21,118252382
2018,21,118252731
2018,21,118255709
2018,21,118255777
2018,22,118255792
2018,21,118255802
2018,21,118255801
2018,21,118963947
2018,21,118963945
2018,21,118963975
2018,21,118963978
2018,22,118964457
2018,21,118964525
2018,21,118964661
