"DATA_YEAR","VICTIM_ID","INJURY_ID"
2018,104552457,5
2018,104552467,4
2018,104552466,5
2018,104552589,5
2018,104552591,5
2018,104552736,5
2018,104552748,5
2018,104552854,5
2018,104553000,5
2018,104553033,4
2018,104553071,5
2018,104553236,4
2018,104553292,5
2018,104553708,5
2018,104555372,5
2018,104555446,4
2018,104556789,3
2018,104556824,4
2018,104556867,5
2018,125169300,4
2018,125169302,4
2018,125169301,4
2018,125169306,4
2018,125169314,4
2018,125169316,5
2018,124390355,4
2018,124393841,4
2018,124390417,4
2018,124390833,4
2018,124391606,5
2018,124395475,5
2018,124399945,4
2018,124398661,5
2018,124391738,3
2018,124399308,5
2018,124396084,4
2018,124393719,4
2018,124390288,4
2018,124393906,5
2018,124390593,5
2018,124394086,5
2018,124398434,4
2018,124391564,5
2018,124391617,5
2018,124398749,4
2018,124395200,4
2018,124395340,5
2018,124395339,5
2018,124398891,4
2018,124392001,4
2018,124399088,4
2018,124399304,5
2018,124393757,4
2018,124393982,4
2018,124391582,4
2018,124391632,5
2018,124391739,5
2018,124398850,5
2018,124395360,5
2018,124399143,5
2018,124399487,5
2018,124398759,5
2018,124392355,5
2018,124393939,4
2018,124398162,4
2018,124394358,4
2018,124394356,4
2018,124391068,5
2018,124398582,5
2018,124395244,4
2018,124395239,4
2018,124398799,5
2018,124391830,5
2018,124392036,4
2018,124399282,4
2018,124399327,4
2018,124399643,5
2018,124393676,5
2018,124387792,4
2018,124393902,4
2018,124393931,2
2018,124393930,2
2018,124397913,2
2018,126053441,1
2018,111053521,4
2018,111053590,4
2018,111056291,4
2018,111056316,5
2018,111053652,5
2018,111056390,4
2018,111061097,5
2018,111053859,5
2018,111053946,5
2018,111057023,4
2018,111054220,4
2018,111060918,4
2018,111060919,4
2018,111056305,4
2018,113653217,4
2018,116705627,5
2018,116712079,4
2018,116716942,5
2018,116710366,4
2018,116712396,4
2018,116710434,4
2018,116710490,4
2018,116611684,5
2018,116611786,5
2018,116611848,5
2018,116606945,5
2018,116607209,4
2018,116705121,5
2018,116700645,4
2018,116705272,5
2018,116705399,4
2018,116705518,4
2018,116705519,5
2018,116705525,4
2018,116705603,4
2018,116716609,5
2018,116716610,5
2018,116716631,5
2018,116716943,5
2018,116710301,5
2018,116712322,4
2018,116710372,5
2018,116710421,5
2018,116700634,4
2018,116707588,4
2018,116705270,5
2018,116705357,4
2018,116707797,5
2018,116705360,4
2018,116700764,4
2018,116707909,4
2018,116705514,4
2018,116705516,4
2018,116708144,4
2018,116700975,4
2018,116705578,5
2018,116705580,5
2018,116708263,4
2018,116716605,4
2018,116716657,5
2018,116716759,5
2018,116712244,4
2018,116710344,4
2018,116712333,4
2018,116717040,4
2018,116710435,4
2018,116710493,4
2018,116606690,5
2018,116606687,5
2018,116606830,1
2018,116607057,5
2018,116612120,4
2018,116616935,5
2018,116607413,4
2018,116617102,5
2018,116707707,5
2018,116705364,4
2018,116700765,4
2018,116708307,5
2018,116708308,5
2018,116716944,4
2018,116712294,4
2018,116710447,4
2018,116717070,4
2018,113659130,5
2018,111053556,5
2018,111053634,4
2018,111053776,5
2018,111053810,4
2018,111056676,5
2018,111056736,5
2018,111054002,5
2018,111054191,4
2018,116712331,4
2018,116712362,4
2018,116712405,4
2018,116710460,2
2018,116717083,4
2018,116709739,5
2018,116710370,5
2018,116712440,4
2018,116607198,5
2018,116612386,5
2018,116612414,5
2018,113666179,5
2018,116705027,3
2018,116705086,4
2018,116711980,5
2018,116709849,4
2018,116710397,5
2018,116710395,5
2018,116712445,4
2018,116717094,4
2018,116616443,4
2018,116616441,4
2018,116611644,4
2018,116606680,5
2018,116700527,5
2018,116705365,4
2018,116705432,5
2018,116700838,5
2018,116700926,5
2018,116708278,5
2018,116711840,5
2018,116709585,4
2018,116711904,4
2018,116712005,5
2018,116716699,4
2018,116712058,5
2018,116716732,4
2018,116712091,5
2018,116712089,5
2018,116712101,5
2018,116710300,4
2018,116716968,5
2018,116710339,5
2018,116712297,5
2018,116712328,5
2018,116717005,4
2018,116712342,5
2018,116712351,5
2018,116717027,4
2018,116710413,4
2018,116712385,4
2018,116712428,5
2018,116710470,5
2018,116712443,4
2018,116710489,4
2018,116707591,4
2018,116700704,1
2018,116707805,5
2018,116707806,4
2018,116700774,5
2018,116700775,5
2018,116707856,5
2018,116700816,6
2018,116705398,6
2018,116705428,5
2018,116700833,5
2018,116700951,4
2018,116700957,4
2018,116705549,5
2018,116700965,5
2018,116700996,4
2018,116708230,5
2018,116705583,4
2018,116700997,4
2018,116711884,5
2018,116711899,4
2018,116711898,4
2018,116716518,3
2018,116709732,5
2018,116712043,4
2018,116709929,4
2018,116710321,4
2018,116712296,5
2018,116716975,5
2018,116716986,4
2018,116712327,4
2018,116712338,5
2018,116710389,4
2018,116710386,4
2018,116717018,6
2018,116710411,5
2018,116712369,4
2018,116712376,4
2018,116717039,4
2018,116717044,5
2018,116710494,3
2018,116712452,8
2018,116712452,2
2018,116712452,6
2018,128364040,4
2018,128364041,4
2018,106211057,5
